Date,Fatalities,Injuries,Causality Location
07/10/2023,70,985,Israel
08/10/2023,677,2000,Israel
09/10/2023,900,2616,Israel
10/10/2023,1000,2806,Israel
11/10/2023,1200,3192,Israel
12/10/2023,1300,3391,Israel
13/10/2023,1300,3436,Israel
14/10/2023,1300,3621,Israel
15/10/2023,1300,3621,Israel
16/10/2023,1300,4121,Israel
17/10/2023,1300,4229,Israel
18/10/2023,1400,4562,Israel
19/10/2023,1400,4629,Israel
20/10/2023,1400,4629,Israel
21/10/2023,1400,4932,Israel
22/10/2023,1400,4932,Israel
23/10/2023,1400,5431,Israel
24/10/2023,1400,5431,Israel
25/10/2023,1400,5431,Israel
26/10/2023,1400,5431,Israel
27/10/2023,1400,5431,Israel
07/10/2023,201,1640,Palestine
08/10/2023,426,2300,Palestine
09/10/2023,704,4095,Palestine
10/10/2023,849,4582,Palestine
11/10/2023,1126,5766,Palestine
12/10/2023,1450,6768,Palestine
13/10/2023,1943,8396,Palestine
14/10/2023,2282,9895,Palestine
15/10/2023,2726,10773,Palestine
16/10/2023,2866,12026,Palestine
17/10/2023,3061,13730,Palestine
18/10/2023,3542,13784,Palestine
19/10/2023,3864,13934,Palestine
20/10/2023,4219,14587,Palestine
21/10/2023,4469,15214,Palestine
22/10/2023,4742,15979,Palestine
23/10/2023,5182,17011,Palestine
24/10/2023,5886,18130,Palestine
25/10/2023,6649,19328,Palestine
26/10/2023,7131,20438,Palestine
27/10/2023,7434,20934,Palestine
